CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
692499668,01/01/2010,17:30:00,01/01/2010,18:00:00,107,01/01/2010,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,NA,POMONOK,1233,"1,035,836","206,042",25-44,BLACK,M,,40.73207216,-73.813869293,"(40.73207216, -73.813869293)",PATROL BORO QUEENS SOUTH,,25-44,BLACK,F
473404767,01/01/2010,22:50:00,,,46,01/01/2010,117,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO",COMPLETED,FELONY,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,"1,009,331","250,025",,,,,40.852908431,-73.909340056,"(40.852908431, -73.909340056)",PATROL BORO BRONX,,,UNKNOWN,E
980609903,01/01/2010,05:43:00,,,81,01/01/2010,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,,OUTSIDE,,N.Y. POLICE DEPT,,NA,,NA,"1,004,879","190,339",25-44,BLACK,M,,40.689097532,-73.925616087,"(40.689097532, -73.925616087)",,,25-44,BLACK,M
851686011,01/01/2010,19:15:00,01/01/2010,19:18:00,44,01/01/2010,118,DANGEROUS WEAPONS,792,WEAPONS POSSESSION 1 & 2,COMPLETED,FELONY,BRONX,,STREET,N.Y. POLICE DEPT,0,NA,,NA,"1,008,734","245,544",,,,,40.840611085,-73.911514418,"(40.840611085, -73.911514418)",PATROL BORO BRONX,,,UNKNOWN,E
667979670,01/01/2010,00:01:00,,,45,01/21/2010,109,GRAND LARCENY,438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",COMPLETED,FELONY,BRONX,INSIDE,OTHER,N.Y. POLICE DEPT,0,NA,,NA,"1,031,069","259,426",,,,,40.878622771,-73.83069722,"(40.878622771, -73.83069722)",PATROL BORO BRONX,,25-44,WHITE HISPANIC,M
401402918,01/01/2010,00:01:00,03/15/2010,23:00:00,84,03/23/2010,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,CHAIN STORE,N.Y. POLICE DEPT,0,NA,,NA,"986,212","191,837",,UNKNOWN,U,,40.693233019,-73.992926303,"(40.693233019, -73.992926303)",PATROL BORO BKLYN NORTH,,,UNKNOWN,D
890411739,01/01/2010,00:01:00,12/08/2010,20:45:00,104,12/28/2010,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,RESTAURANT/DINER,N.Y. POLICE DEPT,0,NA,,NA,"1,012,949","194,554",,,,,40.700644237,-73.896498835,"(40.700644237, -73.896498835)",PATROL BORO QUEENS NORTH,,,UNKNOWN,D
551602716,01/01/2010,00:20:00,01/01/2010,00:20:00,102,01/01/2010,118,DANGEROUS WEAPONS,792,WEAPONS POSSESSION 1 & 2,COMPLETED,FELONY,QUEENS,,STREET,N.Y. POLICE DEPT,0,NA,,NA,"1,023,235","192,031",,,,,40.69367986,-73.859417153,"(40.69367986, -73.859417153)",PATROL BORO QUEENS SOUTH,,,UNKNOWN,E
889784999,01/01/2010,17:00:00,,,62,01/01/2010,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,PARKING LOT/GARAGE (PUBLIC),N.Y. POLICE DEPT,0,NA,,NA,"983,955","156,040",,,,,40.594978166,-74.00106367,"(40.594978166, -74.00106367)",PATROL BORO BKLYN SOUTH,,25-44,WHITE,M
582407139,01/01/2010,00:30:00,,,110,01/01/2010,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,"1,017,570","209,659",,WHITE HISPANIC,M,,40.742087592,-73.879758496,"(40.742087592, -73.879758496)",PATROL BORO QUEENS NORTH,,25-44,WHITE,F
581827117,01/01/2010,09:00:00,,,43,01/01/2010,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,NA,SACK WERN,930,"1,021,993","238,126",25-44,BLACK HISPANIC,M,,40.820204108,-73.863637182,"(40.820204108, -73.863637182)",PATROL BORO BRONX,,18-24,WHITE HISPANIC,F
